"ticker","volatility_ratio","sharpe_ratio","treynor_ratio","jensen_alpha","beta_index","created_at","updated_at"
"MGHT11","51.8856","-2.7965","-7.2730","-145.129","0.002","2024-05-22 00:00:00","2025-11-07 00:00:00"
"MGCR11","0.0000","0.0000","0.0000","0.000","0.000","2024-05-22 00:00:00","2025-11-07 00:00:00"
"MFII11","22.1595","0.3263","0.6129","7.227","-0.001","2024-05-22 00:00:00","2025-11-07 00:00:00"
"MCRE11","13.9944","0.7133","-8.9288","10.003","0.000","2025-01-23 00:00:00","2025-11-07 00:00:00"
"MCLO11","42.0180","1.9375","12.6604","81.856","0.001","2025-07-02 00:00:00","2025-11-07 00:00:00"
"MCEM11","25.3946","2.0512","1.0648","51.446","0.003","2024-05-29 00:00:00","2025-09-21 00:00:00"
"MCCI11","16.1814","0.7472","-0.0270","12.138","0.010","2024-05-22 00:00:00","2025-11-07 00:00:00"
"MAXR11","22.3671","-0.0005","-0.2777","-0.010","0.005","2024-05-22 00:00:00","2025-10-19 00:00:00"
"MANA11","14.0138","0.9992","-0.0836","14.002","0.001","2024-05-22 00:00:00","2025-11-07 00:00:00"
"LVBI11","16.9810","0.1025","-0.7306","1.740","0.002","2024-05-22 00:00:00","2025-11-07 00:00:00"
"LTMT11","0.0000","0.0000","0.0000","0.000","0.000","2025-07-02 00:00:00","2025-11-07 00:00:00"
"LRDI11","65.3241","0.0995","-0.0181","7.124","0.043","2025-07-02 00:00:00","2025-11-07 00:00:00"
"LPLP11","0.0100","3648.8813","-0.0271","36.625","-0.080","2025-07-02 00:00:00","2025-11-07 00:00:00"
"LLAO11","0.0000","0.0000","0.0000","0.000","0.000","2025-07-02 00:00:00","2025-11-07 00:00:00"
"LKDV11","0.0000","0.0000",NULL,NULL,"0.000","2024-05-22 00:00:00","2025-11-07 00:00:00"
"LIFE11","24.7262","0.4449","-0.6523","11.000","0.001","2024-06-10 00:00:00","2025-09-21 00:00:00"
"LFTT11","169.1268","0.0034","0.9184","0.567","-0.002","2024-05-22 00:00:00","2025-11-07 00:00:00"
"LASC11","28.0119","-0.0275","-0.4513","-0.771","0.003","2024-05-22 00:00:00","2025-09-21 00:00:00"
"KORE11","21.8749","0.4690","-0.1356","10.363","0.003","2024-05-22 00:00:00","2025-09-28 00:00:00"
"KNUQ11","10.7159","1.0806","-0.1127","11.570","0.003","2024-05-22 00:00:00","2025-11-07 00:00:00"
"KNSC11","14.1206","0.7680","-0.4858","10.870","0.001","2024-05-22 00:00:00","2025-11-07 00:00:00"
"KNRI11","14.5219","0.4761","-0.0714","6.915","0.011","2024-05-22 00:00:00","2025-11-07 00:00:00"
"KNRE11","113.0770","-0.0547","477.8042","-6.187","0.000","2024-05-22 00:00:00","2025-11-07 00:00:00"
"JSCR11","13.5764","0.6435","0.0175","9.200","-0.032","2025-07-02 00:00:00","2025-11-07 00:00:00"
"KNIP11","10.7892","0.9267","0.1250","9.981","-0.004","2024-05-22 00:00:00","2025-11-07 00:00:00"
"KNHY11","11.6099","0.9670","1.1112","11.222","0.000","2024-05-22 00:00:00","2025-11-07 00:00:00"
"KNHF11","17.2571","0.7250","-0.0430","12.509","0.005","2024-05-22 00:00:00","2025-11-07 00:00:00"
"KNCR11","9.4889","1.1458","-0.0523","10.881","0.008","2024-05-22 00:00:00","2025-11-07 00:00:00"
"KIVO11","22.9500","0.5470","-0.1885","12.549","0.001","2024-05-22 00:00:00","2025-11-07 00:00:00"
"KISU11","17.1500","0.8786","0.1397","15.199","0.000","2024-05-22 00:00:00","2025-11-07 00:00:00"
"KFOF11","16.2545","1.0959","0.0426","17.909","0.007","2024-05-22 00:00:00","2025-11-07 00:00:00"
"KFEN11","0.0000","0.0000","0.0000","0.000","0.000","2025-07-02 00:00:00","2025-11-07 00:00:00"
"KEVE11","25.9347","0.8185","0.0982","21.227","0.006","2024-05-22 00:00:00","2025-11-07 00:00:00"
"KCRE11","16.4887","0.6896","-131.1972","11.372","0.000","2024-05-22 00:00:00","2025-11-07 00:00:00"
"JSRE11","17.8048","0.2488","-0.3868","4.430","0.003","2024-05-22 00:00:00","2025-11-07 00:00:00"
"JSAF11","21.8804","0.7961","-0.0133","17.445","-0.020","2024-05-22 00:00:00","2025-11-07 00:00:00"
"JPPC11","110.4697","0.2801","0.0309","30.952","0.052","2024-05-22 00:00:00","2025-11-07 00:00:00"
"JPPA11","17.4654","0.7800","-0.0458","13.596","0.003","2024-05-22 00:00:00","2025-11-07 00:00:00"
