"ticker","users_ranking_count","users_rank_movement_count","sirios_ranking_count","sirios_rank_movement_count","ifix_ranking_count","ifix_rank_movement_count","ifil_ranking_count","ifil_rank_movement_count","created_at","updated_at"
"BBFI11","0","0","0","0","0","0","0","0","2024-06-10 00:00:00","2025-10-28 00:00:00"
"BARI11","0","0","0","0","77","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"AZPL11","0","0","0","0","109","0","0","0","2025-07-02 00:00:00","2025-10-28 00:00:00"
"AURB11","0","0","0","0","0","0","0","0","2025-07-02 00:00:00","2025-10-28 00:00:00"
"ATSA11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-09-21 00:00:00"
"ASRF11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2024-05-22 00:00:00","2025-10-28 00:00:00"
"ARXD11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"ARRI11","0","0","0","0","108","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"AROA11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"APXR11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-07-02 00:00:00","2025-10-28 00:00:00"
"APXM11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-09-21 00:00:00"
"APTO11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"ANCR11","0","0","0","0","0","0","0","0","2025-07-02 00:00:00","2025-10-28 00:00:00"
"ALZR11","0","0","0","0","38","0","37","1","2024-05-22 00:00:00","2025-10-28 00:00:00"
"ALZC11","0","0","0","0","0","0","0","0","2024-06-10 00:00:00","2025-10-28 00:00:00"
"ALMI11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-09-21 00:00:00"
"AJFI11","0","0","0","0","99","0","0","0","2024-05-22 00:00:00","2025-09-21 00:00:00"
"AIEC11","0","0","0","0","101","0","0","0","2024-05-22 00:00:00","2025-09-21 00:00:00"
"AFHI11","0","0","0","0","71","0","60","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"MCEM11","0","0","0","0","0","0","0","0","2024-05-29 00:00:00","2025-09-21 00:00:00"
"ABCP11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-09-21 00:00:00"
"MCLO11","0","0","0","0","0","0","0","0","2025-07-02 00:00:00","2025-10-28 00:00:00"
"ONEF11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-09-21 00:00:00"
"MCRE11","0","0","0","0","47","0","45","0","2025-01-23 00:00:00","2025-10-28 00:00:00"
"MFII11","0","0","0","0","70","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"MGCR11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"MGHT11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"MMPD11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-07-02 00:00:00","2025-10-28 00:00:00"
"MMVE11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2024-05-22 00:00:00","2025-10-28 00:00:00"
"MXRF11","0","0","0","0","6","0","6","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"NAUI11","0","0","0","0","0","0","0","0","2025-07-02 00:00:00","2025-10-28 00:00:00"
"NAVT11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"NCRI11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"NEWL11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"NEWU11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-09-21 00:00:00"
"NSLU11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"NVHO11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"OBAL11","0","0","0","0","0","0","0","0","2025-07-02 00:00:00","2025-10-28 00:00:00"
"OCRE11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"OPTM11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2024-05-22 00:00:00","2025-10-28 00:00:00"
"OUJP11","0","0","0","0","100","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"OULG11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"PABY11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
