"ticker","display_name","sector","sub_sector","classification","management_type","target_market","traded_until_date","payment_date","dividend_amt","ref_month","month_dividends_amt","month_price_ref","dy_monthly","dy_12m_pct","dy_current_monthly_pct","dividends_12m_amt","last_dividend_amt","last_payment_date"
"ABCP11","Fundo Investimento Imobiliario Grand Plaza Shopping","Shoppings","Shoppings","Tijolo","Definida","Investidores Em Geral","2025-01-15 00:00:00","2025-01-23 00:00:00","8.45","2025-01-01","8.95","74.52","0.12010198604401502952","9.87","0.87","7.40","0.65","2025-11-07 00:00:00"
"ABCP11","Fundo Investimento Imobiliario Grand Plaza Shopping","Shoppings","Shoppings","Tijolo","Definida","Investidores Em Geral","2024-12-30 00:00:00","2025-01-08 00:00:00","0.50","2025-01-01","8.95","74.52","0.12010198604401502952","9.87","0.87","7.40","0.65","2025-11-07 00:00:00"
"ABCP11","Fundo Investimento Imobiliario Grand Plaza Shopping","Shoppings","Shoppings","Tijolo","Definida","Investidores Em Geral","2024-11-29 00:00:00","2024-12-06 00:00:00","0.70","2024-12-01","0.70","75.02","0.00933084510797120768","9.87","0.87","7.40","0.65","2025-11-07 00:00:00"
"ABCP11","Fundo Investimento Imobiliario Grand Plaza Shopping","Shoppings","Shoppings","Tijolo","Definida","Investidores Em Geral","2024-10-31 00:00:00","2024-11-07 00:00:00","0.70","2024-11-01","0.70","77.37","0.00904743440610055577","9.87","0.87","7.40","0.65","2025-11-07 00:00:00"
"ABCP11","Fundo Investimento Imobiliario Grand Plaza Shopping","Shoppings","Shoppings","Tijolo","Definida","Investidores Em Geral","2024-09-30 00:00:00","2024-10-07 00:00:00","0.70","2024-10-01","0.70","76.99","0.00909208988180283154","9.87","0.87","7.40","0.65","2025-11-07 00:00:00"
"ABCP11","Fundo Investimento Imobiliario Grand Plaza Shopping","Shoppings","Shoppings","Tijolo","Definida","Investidores Em Geral","2024-08-30 00:00:00","2024-09-06 00:00:00","0.62","2024-09-01","0.62","72.50","0.00855172413793103448","9.87","0.87","7.40","0.65","2025-11-07 00:00:00"
"ABCP11","Fundo Investimento Imobiliario Grand Plaza Shopping","Shoppings","Shoppings","Tijolo","Definida","Investidores Em Geral","2024-07-31 00:00:00","2024-08-07 00:00:00","0.62","2024-08-01","0.62","73.44","0.00844226579520697168","9.87","0.87","7.40","0.65","2025-11-07 00:00:00"
"ABCP11","Fundo Investimento Imobiliario Grand Plaza Shopping","Shoppings","Shoppings","Tijolo","Definida","Investidores Em Geral","2024-06-28 00:00:00","2024-07-05 00:00:00","0.35","2024-07-01","0.35","67.03","0.00522154259286886469","9.87","0.87","7.40","0.65","2025-11-07 00:00:00"
"ABCP11","Fundo Investimento Imobiliario Grand Plaza Shopping","Shoppings","Shoppings","Tijolo","Definida","Investidores Em Geral","2024-05-31 00:00:00","2024-06-07 00:00:00","0.47","2024-06-01","0.47","69.95","0.00671908506075768406","9.87","0.87","7.40","0.65","2025-11-07 00:00:00"
"ABCP11","Fundo Investimento Imobiliario Grand Plaza Shopping","Shoppings","Shoppings","Tijolo","Definida","Investidores Em Geral","2024-04-30 00:00:00","2024-05-08 00:00:00","0.47","2024-05-01","0.47","70.28","0.00668753557199772339","9.87","0.87","7.40","0.65","2025-11-07 00:00:00"
"ABCP11","Fundo Investimento Imobiliario Grand Plaza Shopping","Shoppings","Shoppings","Tijolo","Definida","Investidores Em Geral","2024-03-28 00:00:00","2024-04-05 00:00:00","0.50","2024-04-01","0.50","71.68","0.00697544642857142857","9.87","0.87","7.40","0.65","2025-11-07 00:00:00"
"ABCP11","Fundo Investimento Imobiliario Grand Plaza Shopping","Shoppings","Shoppings","Tijolo","Definida","Investidores Em Geral","2024-02-29 00:00:00","2024-03-07 00:00:00","0.50","2024-03-01","0.50","77.75","0.00643086816720257235","9.87","0.87","7.40","0.65","2025-11-07 00:00:00"
"ABCP11","Fundo Investimento Imobiliario Grand Plaza Shopping","Shoppings","Shoppings","Tijolo","Definida","Investidores Em Geral","2024-01-31 00:00:00","2024-02-07 00:00:00","0.82","2024-02-01","0.82","80.71","0.01015983149547763598","9.87","0.87","7.40","0.65","2025-11-07 00:00:00"
"ABCP11","Fundo Investimento Imobiliario Grand Plaza Shopping","Shoppings","Shoppings","Tijolo","Definida","Investidores Em Geral","2023-12-28 00:00:00","2024-01-08 00:00:00","0.65","2024-01-01","0.65","75.90","0.00856389986824769433","9.87","0.87","7.40","0.65","2025-11-07 00:00:00"
"ABCP11","Fundo Investimento Imobiliario Grand Plaza Shopping","Shoppings","Shoppings","Tijolo","Definida","Investidores Em Geral","2023-11-30 00:00:00","2023-12-07 00:00:00","0.60","2023-12-01","0.60","69.81","0.00859475719810915342","9.87","0.87","7.40","0.65","2025-11-07 00:00:00"
"ABCP11","Fundo Investimento Imobiliario Grand Plaza Shopping","Shoppings","Shoppings","Tijolo","Definida","Investidores Em Geral","2023-10-31 00:00:00","2023-11-08 00:00:00","0.60","2023-11-01","0.60","69.45","0.00863930885529157667","9.87","0.87","7.40","0.65","2025-11-07 00:00:00"
"ABCP11","Fundo Investimento Imobiliario Grand Plaza Shopping","Shoppings","Shoppings","Tijolo","Definida","Investidores Em Geral","2023-09-29 00:00:00","2023-10-06 00:00:00","0.60","2023-10-01","0.60","69.16","0.00867553499132446501","9.87","0.87","7.40","0.65","2025-11-07 00:00:00"
"ABCP11","Fundo Investimento Imobiliario Grand Plaza Shopping","Shoppings","Shoppings","Tijolo","Definida","Investidores Em Geral","2023-08-31 00:00:00","2023-09-08 00:00:00","0.50","2023-09-01","0.50","67.24","0.00743604997025580012","9.87","0.87","7.40","0.65","2025-11-07 00:00:00"
