"ticker","revenue_due_0_3m_pct","revenue_due_3_6m_pct","revenue_due_6_9m_pct","revenue_due_9_12m_pct","revenue_due_12_15m_pct","revenue_due_15_18m_pct","revenue_due_18_21m_pct","revenue_due_21_24m_pct","revenue_due_24_27m_pct","revenue_due_27_30m_pct","revenue_due_30_33m_pct","revenue_due_33_36m_pct","revenue_due_over_36m_pct","revenue_due_undetermined_pct","revenue_igpm_pct","revenue_inpc_pct","revenue_ipca_pct","revenue_incc_pct","created_at","updated_at"
"PATA11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025-07-02 00:00:00","2025-11-22 00:00:00"
"PATC11","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.2251","0.7748","0.0000","0.1800","0.0000","0.8200","0.0000","2024-05-22 00:00:00","2025-11-22 00:00:00"
"PATL11","0","0.2861","0","0","0.0310","0.3328","0","0","0","0","0","0","0.3499","0","0","0","1.0000","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"PCIP11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025-10-10 00:00:00","2025-11-22 00:00:00"
"PEMA11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"PLAG11","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","1.0000","0.0000","2025-07-02 00:00:00","2025-11-22 00:00:00"
"PLCR11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"PLRI11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"PMFO11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"PMIS11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-29 00:00:00","2025-11-22 00:00:00"
"PMLL11","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2025-08-17 00:00:00","2025-11-22 00:00:00"
"PNCR11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"PNDL11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025-07-02 00:00:00","2025-11-22 00:00:00"
"PNPR11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"PNRC11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"PORD11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"PQAG11","0.0000","0.0000","0.0000","0.0000","0.0000","0.0453","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9546","0.0000","0.0000","0.0000","1.0000","0.0000","2024-05-22 00:00:00","2025-11-22 00:00:00"
"PQDP11","0.0453","0.0631","0.0335","0.0322","0.0267","0.0738","0.0825","0.0294","0.0145","0.0317","0.0301","0.0248","0.3061","0.2056","0.0000","0.0108","0.5668","0.0000","2024-05-22 00:00:00","2025-11-22 00:00:00"
"PRSN11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-06-10 00:00:00","2025-11-22 00:00:00"
"PRSV11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"PSEC11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025-10-30 00:00:00","2025-11-22 00:00:00"
"PULV11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"PVBI11","0.0466","0.0037","0.0822","0.0035","0.0000","0.0163","0.0202","0.0409","0.0128","0.0639","0.0113","0.0334","0.6648","0.0000","0.2411","0.0000","0.7100","0.0000","2024-05-22 00:00:00","2025-11-22 00:00:00"
"RBDS11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"RBFF11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"RBHG11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"RBHY11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"RBIR11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
