"ticker","dy_monthly_pct","dy_pct","sum_anual_dy_amt","last_dividend_amt","last_payment_date","market_cap_value","enterprise_value","price_book_ratio","equity_per_share","revenue_per_share","dividend_payout_pct","growth_rate","cap_rate","leverage_ratio","equity_value","variation_month_ratio","variation_year_ratio","equity_month_ratio","dividend_reserve_amt","admin_fee_due_amt","perf_fee_due_amt","total_cash_amt","expected_revenue_amt","liabilities_total_amt","created_at","updated_at"
"CXCO11","1.11","13.26","8.40","0.70","2025-11-14 00:00:00","248538585.00","246389537.03","0.6580","96.218","0.983","0.00","-5.478","0.000","0.0075","377608447.00","0.0080","0.0722","0.0007","12440.00","41326.63","0.00","5655181.99","3859071.40","2838969.02","2024-05-22 00:00:00","2025-11-22 00:00:00"
"CXCI11","1.13","13.81","9.15","0.75","2025-11-14 00:00:00","136365502.00","126107530.25","0.7920","83.701","0.003","0.00","-1.092","0.000","0.0009","172234684.00","0.0017","0.1046","-0.0071","5444.00","110224.91","0","11279802.15","6075.28","157585.40","2024-05-22 00:00:00","2025-11-22 00:00:00"
"CXCE11","1.18","13.15","5.35","0.48","2025-11-14 00:00:00","69699936.00","62795460.94","0.0000","0.000","0.006","0.00","-1.515","0.000","0.0000","0.00","0.0079","0.0746","0.0003","2979.00","55710.87","0.00","7986296.70","9955.81","1184598.64","2024-06-10 00:00:00","2025-11-22 00:00:00"
"CXAG11","0.96","13.10","9.58","0.70","2025-11-18 00:00:00","152928926.00","147446051.48","0.6620","110.499","0.906","0.00","-4.329","0.000","0.0069","231011732.00","0.0069","0.0563","0.0006","11750.00","117382.26","0.00","7553609.71","1893079.22","1589892.19","2024-05-22 00:00:00","2025-11-22 00:00:00"
"CVBI11","1.27","12.50","10.35","1.05","2025-09-15 00:00:00","0.00","0.00","0.0000","0.000","0.000","0.00","53.022","0.000","0.0154","1022623950.00","0.0085","0.1249","-0.0005","113265.00","1224229.57","0","96467803.75","5408149.31","15756617.92","2025-10-14 00:00:00","2025-11-22 00:00:00"
"CTXT11",NULL,NULL,"0.00","0.00",NULL,"23251434.00","18339088.79","0.2250","22.188","0.058","0.00","-3.681","0.000","0.0043","103385879.00","-0.0062","-0.1593","-0.0062","2231.00","50828.80","0.00","4892064.62","269686.00","445680.41","2024-05-22 00:00:00","2025-11-22 00:00:00"
"CSMC11","0.00","0.00","21.56","9.21","2025-07-29 00:00:00","0.00","34367834.55","0.0000","2812.115","100.000","0.00","52.398","0.000","0.0361","1911594414.00","-0.0067","0.1218","-0.0067","1.00","69707.93","0","34730088.33","175627714.19","69097922.88","2024-05-22 00:00:00","2025-11-22 00:00:00"
"CRFF11","0.83","9.94","7.32","0.61","2025-11-12 00:00:00","50800745.00","47915455.75","0.9060","81.301","0.079","0.00","-1.198","0.000","0.0093","56100773.00","0.0345","0.2526","0.0270","1214.00","57186.15","0.00","3412847.36","54503.52","520658.11","2024-05-22 00:00:00","2025-11-22 00:00:00"
"CPUR11","0.92","10.59","1.15","0.10","2025-11-25 00:00:00","676103103.00","1045109780.19","1.1060","9.803","0.133","0.00","63.768","0.000","0.6157","611448890.00","0.0520","0.1456","0.0299","1397.00","535017.78","52319.09","2466622.68","8294701.27","376462989.87","2025-06-12 00:00:00","2025-11-22 00:00:00"
"CPTS11","1.21","14.25","1.06","0.09","2025-11-19 00:00:00","2444473968.00","3041226546.34","0.8410","8.846","1.015","0.00","5.508","0.000","0.2172","2906521069.00","0.0147","0.1355","0.0049","354417.00","1522342.66","0.00","27845754.07","-1475715.52","631169499.41","2024-05-22 00:00:00","2025-11-22 00:00:00"
"CPSH11","1.13","11.47","1.22","0.12","2025-11-26 00:00:00","848006064.00","989640761.14","0.9160","11.615","0.798","0.00","3.306","0.000","0.1605","925726821.00","-0.0005","0.1092","-0.0073","25217.00","617563.40","593850.30","2186302.10","63621084.41","148602989.24","2024-05-22 00:00:00","2025-11-22 00:00:00"
"CPOF11","0.41","7.21","7.89","0.45","2025-11-25 00:00:00","522578348.00","678245345.25","1.0110","108.295","2.375","0.00","65.734","0.000","0.3042","516826279.00","0.0008","-0.0165","-0.0034","119.00","415614.47","0.00","1530686.22","11332354.94","157197683.47","2024-05-22 00:00:00","2025-11-22 00:00:00"
"CPLG11","1.59","8.47","1.07","0.20","2025-11-14 00:00:00","566499528.00","777779991.65","1.6430","7.670","2.383","0.00","28.826","0.000","0.6185","344828566.00","0.1214","0.2175","0.1174","534.00","32326.74","0.00","1991377.85","107136976.22","213271841.50","2025-07-02 00:00:00","2025-11-22 00:00:00"
