"ticker","source","title","tags","description","url","image_url","published_at","created_at","updated_at"
"CPSH11","Suno Notícias","BROF11, CPSH11: Fundos imobiliários distribuirão rendimentos hoje","Fundos Imobiliários (FIIs), Fundos Imobiliários (FIIs)","Veja hoje quais fundos imobiliários vão pagar dividendos, como é o caso do BROF11. Clique aqui para saber os detalhes.","https://www.suno.com.br/noticias/brof11-cpsh11-fundos-imobiliarios-rendimentos/","https://files.sunoresearch.com.br/n/uploads/2021/03/301c6e1b-buildings-690364_1280.jpg","2024-07-16 00:00:00","2024-07-16 00:00:00","2024-07-16 00:00:00"
"CPSH11","Suno Notícias","BROF11, CPSH11: Fundos imobiliários distribuirão rendimentos hoje","Fundos Imobiliários (FIIs), Fundos Imobiliários (FIIs)","Veja hoje quais fundos imobiliários vão pagar dividendos, como é o caso do BROF11. Clique aqui para saber os detalhes.","https://www.suno.com.br/noticias/fundos-imobiliarios-fiis-brof11-cpsh11-agenda-rendimento-27032025/","https://files.sunoresearch.com.br/n/uploads/2023/12/Ibovespa-5.jpg","2025-03-27 00:00:00","2025-03-27 00:00:00","2025-03-27 00:00:00"
"CPSH11","Suno Notícias","BROF11, CPSH11 e VVCR11: FIIs pagarão rendimentos nesta quarta-feira","Fundos Imobiliários (FIIs), dividendos, Fundos Imobiliários (FIIs)","Veja hoje quais fundos imobiliários vão pagar dividendos, como é o caso do BROF11. Clique aqui para saber os detalhes.","https://www.suno.com.br/noticias/agenda-dividendos-brof11-cpsh11-agosto-cpf/","https://files.sunoresearch.com.br/n/uploads/2023/05/faria-lima-fiis-investir.jpg","2023-08-23 00:00:00","2024-05-26 00:00:00","2024-05-26 00:00:00"
"CPSH11","Suno Notícias","BROF11, CPSH11: FIIs pagam dividendos hoje","Fundos Imobiliários (FIIs), Fundos Imobiliários (FIIs)","Veja hoje quais fundos imobiliários vão pagar dividendos, como é o caso do BROF11. Clique aqui para saber os detalhes.","https://www.suno.com.br/noticias/news-agenda-dividendos-fundo-imobiliario-brof11-cpsh11-julho-gss/","https://files.sunoresearch.com.br/n/uploads/2021/07/22e3bff6-architecture-768432_1920.jpg","2024-07-25 00:00:00","2024-07-25 00:00:00","2024-07-25 00:00:00"
"CPSH11","Suno Notícias","Fundos imobiliários pagam rendimentos hoje: BROF11 e CPSH11","Fundos Imobiliários (FIIs), Fundos Imobiliários (FIIs)","Veja hoje quais fundos imobiliários vão pagar dividendos, como é o caso do BROF11. Clique aqui para saber os detalhes.","https://www.suno.com.br/noticias/news-agenda-dividendos-fundo-imobiliario-brof11-cpsh11-fevereiro-cpf/","https://files.sunoresearch.com.br/n/uploads/2024/01/FIIs-8.jpg","2024-07-16 00:00:00","2024-07-16 00:00:00","2024-07-16 00:00:00"
"CPTS11","Suno Notícias","CPTS11, MCCI11: 6 fundos imobiliários pagam hoje dividendos","Fundos Imobiliários (FIIs), CPTS11, dividendos, Fundos Imobiliários (FIIs)","Veja hoje quais fundos imobiliários vão pagar dividendos, como é o caso do CPTS11. Clique aqui para saber os detalhes.","https://www.suno.com.br/noticias/agenda-dvidendos-6-fundos-imobiliarios/","https://files.sunoresearch.com.br/n/uploads/2023/05/dividendos.jpg","2023-05-18 00:00:00","2024-05-26 00:00:00","2024-05-26 00:00:00"
"CPTS11","Suno Notícias","CPTS11, MCCI11: 7 FIIs pagam dividendos hoje; Veja quais","CPTS11, CPTS11, Fundos Imobiliários (FIIs)","Veja hoje quais fundos imobiliários vão pagar dividendos, como é o caso do CPTS11. Clique aqui para saber os detalhes.","https://www.suno.com.br/noticias/fundo-imobiliario-fiis-cpts11-dividendos/","https://files.sunoresearch.com.br/n/uploads/2021/06/9d9dd767-buildings-1842205_1920.jpg","2022-09-20 00:00:00","2024-05-26 00:00:00","2024-05-26 00:00:00"
"CPTS11","Suno Notícias","Dividendos hoje: 5 FIIs pagam proventos nesta segunda (20)","Fundos Imobiliários (FIIs), Fundos Imobiliários (FIIs)","Veja quais fundos imobiliários vão pagar dividendos hoje, como é o caso do CPTS11. Clique aqui para saber os detalhes.","https://www.suno.com.br/noticias/news-agenda-dividendos-hoje-fundo-imobiliario-cpts11-janeiro-gss-2/","https://files.sunoresearch.com.br/n/uploads/2024/08/iStock-1483901514.jpg","2025-01-21 00:00:00","2025-01-21 00:00:00","2025-01-21 00:00:00"
"CPTS11","Suno Notícias","IFIX cai 0,43% na semana; RECR11 e CPTS11 s√£o destaques de alta","IFIX, BRCO11, CPTS11, CVBI11, Fechamento IFIX, GGRC11, HSLG11, RBRP11, RECR11, TORD11, XPLG11","O IFIX cai 0,43% na semana, com os fundos RECR11 e CPTS11 sendo destaques de alta e XPLG11 recuando 4,7%. Clique e saiba mais!","https://www.suno.com.br/noticias/ifix-fechamento-19-01-2023-recr11-cpts11-destaques-de-alta/","https://files.sunoresearch.com.br/n/uploads/2023/01/24-2-scaled.jpg","2023-01-20 00:00:00","2024-05-26 00:00:00","2024-05-26 00:00:00"
"CPTS11","Suno Notícias","Fundo imobiliário CPTS11 vai distribuir R$ 0,07 por cota; confira","CPTS11, CPTS11, Fundos Imobiliários (FIIs)","O FII CPTS11 anunciou o pagamento de rendimentos em fevereiro. Clique aqui para saber os detalhes sobre os dividendos do CPTS11.","https://www.suno.com.br/noticias/news-agenda-dividendos-hoje-fundo-imobiliario-cpts11-fevereiro-gss/","https://files.sunoresearch.com.br/n/uploads/2023/06/fundos-imobiliarios-fiis-dividendos.jpg","2025-02-14 00:00:00","2025-02-14 00:00:00","2025-02-14 00:00:00"
